origin_city,destination_city,origin_station,destination_station,price
Gloucester,London,Gloucester (Transport Hub),London Heathrow Airport (Central Bus Station T2 and T3),11.323333333333332
Northampton,Derby,Northampton Town Centre,Derby,6.24
Birmingham,Cardiff,Birmingham - Great Charles Street Queensway,Cardiff North Road (Friary Gardens),8.99
London,Edinburgh,London Heathrow Airport (Central Bus Station T2 and T3),Edinburgh Bus Station,31.99
Cardiff,Swansea,Cardiff North Road (Friary Gardens),Swansea University,3.9900000000000015
London,Cheltenham,London Heathrow Airport (Central Bus Station T2 and T3),Cheltenham Royal Well Bus Station,6.989999999999999
Sheffield,Derby,Sheffield Interchange,Derby,3.99
Dundee,Glasgow,Dundee (Overgate Centre - West Marketgait),Glasgow,5.521249999999999
Birmingham,Oxford,Birmingham - Great Charles Street Queensway,Oxford Bus Station,5.99
London,Northampton,London Heathrow Airport (Central Bus Station T2 and T3),Northampton Town Centre,16.99
Glasgow,Carlisle,Glasgow,Carlisle (Halston Hotel),6.99
Birmingham,Preston,Birmingham - Great Charles Street Queensway,Preston Bus Station,12.99
Sheffield,Bristol,Sheffield (Meadowhall Interchange),Bristol Bus Station (UK),8.49
Dundee,Leeds,Dundee (Overgate Centre - West Marketgait),Leeds Cultural Stop C,17.49
Manchester,Preston,Manchester (Shudehill Interchange),Preston Bus Station,5.99
Leicester,Derby,Leicester (Fosse Park),Derby,4.1328571428571435
Swansea,Newport,Swansea,Newport,4.490000000000001
Bristol,Leeds,Bristol Bus Station (UK),Leeds City Bus Station,8.49
Aberdeen,Sheffield,Aberdeen Bus Station,Sheffield (Meadowhall Interchange),27.49
London,Newport,London Heathrow Airport (Central Bus Station T2 and T3),Newport,13.456666666666669
Gloucester,Newport,Gloucester (Transport Hub),Newport,4.49
Cardiff,Birmingham,Cardiff North Road (Friary Gardens),Birmingham - Great Charles Street Queensway,8.99
Glasgow,Leeds,Glasgow,Leeds Cultural Stop C,9.49
Sheffield,Sunderland,Sheffield (Meadowhall Interchange),Sunderland Interchange,12.99
Coventry,Stoke-on-Trent,Coventry (Pool Meadow),Stoke-on-Trent (Hanley Bus Station),5.490000000000001
Middlesbrough,Glasgow,Middlesbrough (Bus Station),Glasgow,10.49
Liverpool,Leeds,Liverpool (One Bus Station),Leeds City Bus Station,4.99
Bournemouth,London,Bournemouth,London Heathrow Airport (Central Bus Station T2 and T3),9.323333333333332
Luton,Manchester,Luton Halfway Avenue,Manchester (Moss Lane East),11.49
Bristol,Manchester,Bristol Bus Station (UK),Manchester (Moss Lane East),7.99
Leeds,Dundee,Leeds Cultural Stop C,Dundee (Overgate Centre - West Marketgait),20.99
Coventry,Birmingham,Coventry (Pool Meadow),Birmingham - Great Charles Street Queensway,4.49
Nottingham,London,Nottingham Broad Marsh Bus Station,London Heathrow Airport (Central Bus Station T2 and T3),11.489999999999998
Leicester,Nottingham,Leicester (Fosse Park),University of Nottingham - South Entrance UN07,3.99
Glasgow,Manchester,Glasgow,Manchester (Shudehill Interchange),16.99
Nottingham,Edinburgh,Nottingham Broad Marsh Bus Station,Edinburgh Bus Station,25.49
London,Swansea,London Heathrow Airport (Terminal 5),Swansea University,15.823333333333332
Liverpool,Coventry,Liverpool (One Bus Station),Coventry (Pool Meadow),7.99
Northampton,Chester,Northampton Town Centre,Chester Bus Interchange (Stand N),10.49
Nottingham,Aberdeen,Nottingham Broad Marsh Bus Station,Aberdeen Bus Station,37.99
Edinburgh,Sunderland,Edinburgh Bus Station,Sunderland Interchange,7.49
London,Exeter,London Heathrow Airport (Central Bus Station T2 and T3),Exeter (Stover Court- Bampfylde Street),12.99
Bradford,Derby,Bradford Interchange,Derby,6.489999999999999
Middlesbrough,Leeds,Middlesbrough (Bus Station),Leeds City Bus Station,5.489999999999999
Nottingham,Northampton,University of Nottingham UN04,Northampton Town Centre,17.99
Glasgow,Northampton,Glasgow,Northampton Town Centre,19.99
Cardiff,Leeds,Cardiff North Road (Friary Gardens),Leeds City Bus Station,14.49
Liverpool,Northampton,Liverpool (One Bus Station),Northampton Town Centre,12.99
London,Bournemouth,London Heathrow Airport (Central Bus Station T2 and T3),Bournemouth,8.99
London,Nottingham,London Heathrow Airport (Terminal 5),Nottingham Broad Marsh Bus Station,10.989999999999998
Leeds,Birmingham,Leeds City Bus Station,Birmingham - Great Charles Street Queensway,6.573333333333334
Middlesbrough,Manchester,Middlesbrough (Bus Station),Manchester (Shudehill Interchange),6.656666666666666
Southampton,London,Southampton Central Station (Stop SF),London Heathrow Airport (Central Bus Station T2 and T3),17.99
Northampton,Coventry,Northampton Town Centre,Coventry (Pool Meadow),4.99
Warrington,Birmingham,Warrington Interchange,Birmingham - Great Charles Street Queensway,5.49
London,Stoke-on-Trent,London Heathrow Airport (Central Bus Station T2 and T3),Stoke-on-Trent (Hanley Bus Station),12.56142857142857
Cardiff,Sheffield,Cardiff North Road (Friary Gardens),Sheffield (Meadowhall Interchange),12.99
